unit,sex,age,region,year,value
YR,F,Y65,FR,2021,23.4
YR,F,Y_LT1,FR,2021,85.5
YR,M,Y65,FR,2021,19.3
YR,M,Y_LT1,FR,2021,79.3
YR,T,Y65,FR,2021,21.5
YR,T,Y_LT1,FR,2021,82.5
YR,F,Y1,FR,2020,84.6
YR,F,Y10,FR,2020,75.6
YR,F,Y11,FR,2020,74.6
YR,F,Y12,FR,2020,73.6
YR,F,Y13,FR,2020,72.7
YR,F,Y14,FR,2020,71.7
YR,F,Y15,FR,2020,70.7
YR,F,Y16,FR,2020,69.7
YR,F,Y17,FR,2020,68.7
YR,F,Y18,FR,2020,67.7
YR,F,Y19,FR,2020,66.7
YR,F,Y2,FR,2020,83.6
YR,F,Y20,FR,2020,65.7
YR,F,Y21,FR,2020,64.7
YR,F,Y22,FR,2020,63.7
YR,F,Y23,FR,2020,62.7
YR,F,Y24,FR,2020,61.8
YR,F,Y25,FR,2020,60.8
YR,F,Y26,FR,2020,59.8
YR,F,Y27,FR,2020,58.8
YR,F,Y28,FR,2020,57.8
YR,F,Y29,FR,2020,56.8
YR,F,Y3,FR,2020,82.6
YR,F,Y30,FR,2020,55.8
YR,F,Y31,FR,2020,54.9
YR,F,Y32,FR,2020,53.9
YR,F,Y33,FR,2020,52.9
YR,F,Y34,FR,2020,51.9
YR,F,Y35,FR,2020,50.9
YR,F,Y36,FR,2020,50.0
YR,F,Y37,FR,2020,49.0
YR,F,Y38,FR,2020,48.0
YR,F,Y39,FR,2020,47.0
YR,F,Y4,FR,2020,81.6
YR,F,Y40,FR,2020,46.1
YR,F,Y41,FR,2020,45.1
YR,F,Y42,FR,2020,44.1
YR,F,Y43,FR,2020,43.2
YR,F,Y44,FR,2020,42.2
YR,F,Y45,FR,2020,41.3
YR,F,Y46,FR,2020,40.3
YR,F,Y47,FR,2020,39.4
YR,F,Y48,FR,2020,38.4
YR,F,Y49,FR,2020,37.5
YR,F,Y5,FR,2020,80.6
YR,F,Y50,FR,2020,36.5
YR,F,Y51,FR,2020,35.6
YR,F,Y52,FR,2020,34.7
