unit,sex,age,region,year,value
YR,F,Y65,IT,2021,22.3
YR,F,Y_LT1,IT,2021,85.1
YR,M,Y65,IT,2021,19.0
YR,M,Y_LT1,IT,2021,80.6
YR,T,Y65,IT,2021,20.8
YR,T,Y_LT1,IT,2021,82.9
YR,F,Y1,IT,2020,83.7
YR,F,Y10,IT,2020,74.7
YR,F,Y11,IT,2020,73.7
YR,F,Y12,IT,2020,72.8
YR,F,Y13,IT,2020,71.8
YR,F,Y14,IT,2020,70.8
YR,F,Y15,IT,2020,69.8
YR,F,Y16,IT,2020,68.8
YR,F,Y17,IT,2020,67.8
YR,F,Y18,IT,2020,66.8
YR,F,Y19,IT,2020,65.8
YR,F,Y2,IT,2020,82.7
YR,F,Y20,IT,2020,64.8
YR,F,Y21,IT,2020,63.8
YR,F,Y22,IT,2020,62.8
YR,F,Y23,IT,2020,61.8
YR,F,Y24,IT,2020,60.8
YR,F,Y25,IT,2020,59.8
YR,F,Y26,IT,2020,58.9
YR,F,Y27,IT,2020,57.9
YR,F,Y28,IT,2020,56.9
YR,F,Y29,IT,2020,55.9
YR,F,Y3,IT,2020,81.7
YR,F,Y30,IT,2020,54.9
YR,F,Y31,IT,2020,53.9
YR,F,Y32,IT,2020,52.9
YR,F,Y33,IT,2020,51.9
YR,F,Y34,IT,2020,50.9
YR,F,Y35,IT,2020,50.0
YR,F,Y36,IT,2020,49.0
YR,F,Y37,IT,2020,48.0
YR,F,Y38,IT,2020,47.0
YR,F,Y39,IT,2020,46.0
YR,F,Y4,IT,2020,80.7
YR,F,Y40,IT,2020,45.0
YR,F,Y41,IT,2020,44.1
YR,F,Y42,IT,2020,43.1
YR,F,Y43,IT,2020,42.1
YR,F,Y44,IT,2020,41.2
YR,F,Y45,IT,2020,40.2
YR,F,Y46,IT,2020,39.2
YR,F,Y47,IT,2020,38.3
YR,F,Y48,IT,2020,37.3
YR,F,Y49,IT,2020,36.4
YR,F,Y5,IT,2020,79.7
YR,F,Y50,IT,2020,35.4
YR,F,Y51,IT,2020,34.5
YR,F,Y52,IT,2020,33.5
YR,F,Y53,IT,2020,32.6
YR,F,Y54,IT,2020,31.6
YR,F,Y55,IT,2020,30.7
YR,F,Y56,IT,2020,29.8
YR,F,Y57,IT,2020,28.9
YR,F,Y58,IT,2020,27.9
YR,F,Y59,IT,2020,27.0
YR,F,Y6,IT,2020,78.7
YR,F,Y60,IT,2020,26.1
YR,F,Y61,IT,2020,25.2
YR,F,Y62,IT,2020,24.3
YR,F,Y63,IT,2020,23.4
YR,F,Y64,IT,2020,22.5
YR,F,Y65,IT,2020,21.7
YR,F,Y66,IT,2020,20.8
YR,F,Y67,IT,2020,19.9
YR,F,Y68,IT,2020,19.1
YR,F,Y69,IT,2020,18.2
YR,F,Y7,IT,2020,77.7
YR,F,Y70,IT,2020,17.4
YR,F,Y71,IT,2020,16.6
YR,F,Y72,IT,2020,15.7
YR,F,Y73,IT,2020,14.9
YR,F,Y74,IT,2020,14.1
YR,F,Y75,IT,2020,13.4
YR,F,Y76,IT,2020,12.6
YR,F,Y77,IT,2020,11.8
YR,F,Y78,IT,2020,11.1
YR,F,Y79,IT,2020,10.4
YR,F,Y8,IT,2020,76.7
YR,F,Y80,IT,2020,9.7
YR,F,Y81,IT,2020,9.0
YR,F,Y82,IT,2020,8.4
YR,F,Y83,IT,2020,7.8
YR,F,Y84,IT,2020,7.2
YR,F,Y9,IT,2020,75.7
YR,F,Y_GE85,IT,2020,6.6
YR,F,Y_LT1,IT,2020,84.5
YR,M,Y1,IT,2020,79.2
YR,M,Y10,IT,2020,70.2
YR,M,Y11,IT,2020,69.2
YR,M,Y12,IT,2020,68.2
YR,M,Y13,IT,2020,67.2
YR,M,Y14,IT,2020,66.2
YR,M,Y15,IT,2020,65.2
YR,M,Y16,IT,2020,64.3
YR,M,Y17,IT,2020,63.3
YR,M,Y18,IT,2020,62.3
YR,M,Y19,IT,2020,61.3
YR,M,Y2,IT,2020,78.2
YR,M,Y20,IT,2020,60.3
YR,M,Y21,IT,2020,59.3
YR,M,Y22,IT,2020,58.4
YR,M,Y23,IT,2020,57.4
YR,M,Y24,IT,2020,56.4
YR,M,Y25,IT,2020,55.4
YR,M,Y26,IT,2020,54.4
YR,M,Y27,IT,2020,53.5
YR,M,Y28,IT,2020,52.5
YR,M,Y29,IT,2020,51.5
YR,M,Y3,IT,2020,77.2
YR,M,Y30,IT,2020,50.5
YR,M,Y31,IT,2020,49.6
YR,M,Y32,IT,2020,48.6
YR,M,Y33,IT,2020,47.6
YR,M,Y34,IT,2020,46.6
YR,M,Y35,IT,2020,45.6
YR,M,Y36,IT,2020,44.7
YR,M,Y37,IT,2020,43.7
YR,M,Y38,IT,2020,42.7
YR,M,Y39,IT,2020,41.8
YR,M,Y4,IT,2020,76.2
YR,M,Y40,IT,2020,40.8
YR,M,Y41,IT,2020,39.8
YR,M,Y42,IT,2020,38.9
YR,M,Y43,IT,2020,37.9
YR,M,Y44,IT,2020,37.0
YR,M,Y45,IT,2020,36.0
YR,M,Y46,IT,2020,35.1
YR,M,Y47,IT,2020,34.1
YR,M,Y48,IT,2020,33.2
YR,M,Y49,IT,2020,32.3
YR,M,Y5,IT,2020,75.2
YR,M,Y50,IT,2020,31.3
YR,M,Y51,IT,2020,30.4
YR,M,Y52,IT,2020,29.5
